date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:21	965662/965662	---M--	200	added ('OK')	image/png	etag:%22ebc1e-587d6a8c83f00%22	https://asharamisynergy.com/assets/img/globe.png	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/globe.png	(from https://asharamisynergy.com/)
17:10:21	30984/30984	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:21%20GMT	https://asharamisynergy.com/media/news/asharami-synergy-receives-three-iso-certifications-promotes-downstream-sustainability	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media/news/asharami-synergy-receives-three-iso-certifications-promotes-downstream-sustainability.html	(from https://asharamisynergy.com/)
17:10:22	318502/318502	---M--	200	added ('OK')	image/png	etag:%224dc26-5e5f87cfa3ee2%22	https://asharamisynergy.com/imager/images/5349/Synergy-web-ISO_e2768e.png	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/5349/Synergy-web-ISO_e2768e.png	(from https://asharamisynergy.com/)
17:10:23	31074/31074	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:22%20GMT	https://asharamisynergy.com/media/news/asharami-synergy-targets-30-aviation-fuel-market-share-to-enhance-economic-growth	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media/news/asharami-synergy-targets-30-aviation-fuel-market-share-to-enhance-economic-growth.html	(from https://asharamisynergy.com/)
17:10:24	478177/478177	---M--	200	added ('OK')	image/png	etag:%2274be1-5df1f3431012b%22	https://asharamisynergy.com/imager/images/5213/web-press-2_e2768e.png	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/5213/web-press-2_e2768e.png	(from https://asharamisynergy.com/)
17:10:24	33359/33359	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:24%20GMT	https://asharamisynergy.com/media/news/value-for-money-campaign-as-a-consumer-engagement-drive	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media/news/value-for-money-campaign-as-a-consumer-engagement-drive.html	(from https://asharamisynergy.com/)
17:10:25	116136/116136	---M--	200	added ('OK')	image/jpeg	etag:%221c5a8-5e65dfbdc173b%22	https://asharamisynergy.com/imager/photos/4391/d2d_e2768e.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/photos/4391/d2d_e2768e.jpg	(from https://asharamisynergy.com/)
17:10:26	30023/30023	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:26%20GMT	https://asharamisynergy.com/media/news/asharami-synergy-offers-value-for-money-with-diesel-to-your-doorstep-initiative	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media/news/asharami-synergy-offers-value-for-money-with-diesel-to-your-doorstep-initiative.html	(from https://asharamisynergy.com/)
17:10:27	74233/74233	---M--	200	added ('OK')	image/jpeg	etag:%22121f9-5cb7d783d0486%22	https://asharamisynergy.com/imager/photos/4421/d2dstory_e2768e.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/photos/4421/d2dstory_e2768e.jpg	(from https://asharamisynergy.com/)
17:10:27	3971/3971	---M--	200	added ('OK')	image/png	etag:%22f83-587d6a20c00c0%22	https://asharamisynergy.com/assets/img/Asharami-Synergy-Logo.png	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/Asharami-Synergy-Logo.png	(from https://asharamisynergy.com/)
17:10:28	99021/99021	---M-Z	200	added ('OK')	application/javascript	etag:%22080f1472776d4d1a972a14cea4433aeb+gzip%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/hermes/platform.twitter.com/widgets.js	(from https://asharamisynergy.com/)
17:10:29	728/728	---M--	200	added ('OK')	image/svg+xml	etag:%222d8-587d6a2d25e00%22	https://asharamisynergy.com/assets/img/facebook.svg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/facebook.svg	(from https://asharamisynergy.com/)
17:10:30	884/884	---M--	200	added ('OK')	image/svg+xml	etag:%22374-587d6a44fd640%22	https://asharamisynergy.com/assets/img/twitter.svg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/twitter.svg	(from https://asharamisynergy.com/)
17:10:30	6725/6725	---M--	200	added ('OK')	image/svg+xml	etag:%221a45-587d6a3a7fd80%22	https://asharamisynergy.com/assets/img/instagram.svg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/instagram.svg	(from https://asharamisynergy.com/)
17:10:31	648/648	---M--	200	added ('OK')	image/svg+xml	etag:%22288-587d6a44fd640%22	https://asharamisynergy.com/assets/img/youtube.svg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/youtube.svg	(from https://asharamisynergy.com/)
17:10:32	573/573	---M--	200	added ('OK')	image/svg+xml	etag:%2223d-587d6a3a7fd80%22	https://asharamisynergy.com/assets/img/linkedin.svg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/linkedin.svg	(from https://asharamisynergy.com/)
17:10:33	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:33%20GMT	https://asharamisynergy.com/business-solutions/asha-lubes.html	C:/My%20Web%20Sites/hermes/asharamisynergy.com/business-solutions/asha-lubes.32.delayed	(from https://asharamisynergy.com/)
17:10:35	93998/93998	---M--	200	added ('OK')	image/jpeg	etag:%2216f2e-5e65dfbdec6bb%22	https://asharamisynergy.com/imager/images/3088/d2d-ad-update_5dd6d8.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/3088/d2d-ad-update_5dd6d8.jpg	(from https://asharamisynergy.com/)
17:10:35	69303/69303	---M--	200	added ('OK')	image/jpeg	etag:%2210eb7-59255bed419c0%22	https://asharamisynergy.com/assets/images/sahara-foundation.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/images/sahara-foundation.jpg	(from https://asharamisynergy.com/)
17:10:37	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:36%20GMT	https://asharamisynergy.com/about/locations	C:/My%20Web%20Sites/hermes/asharamisynergy.com/about/locations.35.delayed	(from https://asharamisynergy.com/)
17:10:38	39619/39619	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:37%20GMT	https://asharamisynergy.com/sustainability/	C:/My%20Web%20Sites/hermes/asharamisynergy.com/sustainability/index.html	(from https://asharamisynergy.com/)
17:10:38	45254/45254	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:37%20GMT	https://asharamisynergy.com/legal-notice	C:/My%20Web%20Sites/hermes/asharamisynergy.com/legal-notice.html	(from https://asharamisynergy.com/)
